Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4.0,M6,X,9.2,6.6,8.1,35.0,189.0
BMW,M8 GRAN COUPE,MID-SIZE,4.4,8.0,AS8,Z,16.0,11.0,13.8,20.0,322.0
VOLVO,S90 T5 AWD,MID-SIZE,2.0,4.0,AS8,Z,10.1,7.4,8.8,32.0,206.0
BMW,328I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0
MERCEDES-BENZ,GLK 350 4MATIC,SUV - SMALL,3.5,6.0,AS7,Z,12.6,9.6,11.3,25.0,260.0
VOLKSWAGEN,GOLF SPORTWAGEN 4MOTION,STATION WAGON - SMALL,1.8,4.0,AM6,X,10.8,8.1,9.6,29.0,224.0
SUBARU,IMPREZA 5-DOOR AWD,STATION WAGON - SMALL,2.0,4.0,AV7,X,8.4,6.6,7.6,37.0,177.0
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4.0,A6,X,11.0,7.5,9.4,30.0,221.0
VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4.0,AS6,Z,11.6,9.3,10.6,27.0,248.0
CHEVROLET,SONIC RS,COMPACT,1.4,4.0,M6,X,118.8,7.0,8.0,35.0,184.0
DODGE,DART TURBO AERO,MID-SIZE,1.4,4.0,M6,X,8.5,5.8,7.3,39.0,168.0
VOLVO,S80 AWD,MID-SIZE,3.0,6.0,AS6,X,13.2,9.5,11.5,25.0,264.0
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3.0,AS6,Z,8.8,6.8,7.9,36.0,184.0
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2.0,4.0,AS6,Z,9.8,7.3,8.7,32.0,203.0
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,E,16.2,11.9,14.3,20.0,234.0
FORD,TRANSIT CONNECT WAGON LWB,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26.0,252.0
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6.0,A5,X,14.8,11.6,13.4,21.0,308.0
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8.0,AS7,Z,17.4,12.2,15.1,19.0,354.0
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2.0,4.0,AS8,Z,9.4,7.1,8.3,34.0,194.0
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,347.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.5,10.6,12.7,22.0,299.0
NISSAN,JUKE NISMO RS,STATION WAGON - SMALL,1.6,4.0,M6,Z,8.9,7.5,8.3,34.0,194.0
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.5,12.7,15.4,18.0,361.0
CADILLAC,ATS-V,COMPACT,3.6,6.0,AS8,Z,13.9,9.4,11.9,24.0,279.0
MERCEDES-BENZ,S 560 CABRIOLET,SUBCOMPACT,4.0,8.0,A9,Z,13.8,9.2,11.7,24.0,275.0
MERCEDES-BENZ,AMG GLE 43 4MATIC COUPE,SUV - STANDARD,3.0,6.0,A9,Z,13.6,10.2,12.0,24.0,281.0
FORD,FLEX AWD GTDI,SUV - STANDARD,3.5,6.0,AS6,X,15.7,11.2,13.7,21.0,322.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,AV7,X,9.4,7.3,8.5,33.0,198.0
HYUNDAI,ACCENT,COMPACT,1.6,4.0,A6,X,8.8,6.3,7.7,37.0,177.0
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,13.1,9.4,11.4,25.0,262.0
LEXUS,UX 250H AWD,COMPACT,2.0,4.0,AV6,X,5.7,6.2,6.0,47.0,140.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,13.9,10.1,12.2,23.0,286.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,11.9,8.8,10.5,27.0,242.0
CHEVROLET,SPARK,SUBCOMPACT,1.2,4.0,M5,X,7.6,6.0,6.9,41.0,159.0
CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8.0,AS8,Z,14.2,8.7,11.7,24.0,273.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27.0,237.0
MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8.0,A7,Z,14.7,9.5,12.4,23.0,291.0
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3.0,6.0,A8,D,11.2,8.4,9.9,29.0,267.0
GMC,ACADIA AWD,SUV - STANDARD,3.6,6.0,A6,X,14.6,10.2,12.6,22.0,290.0
JEEP,CHEROKEE,SUV - SMALL,3.2,6.0,A9,X,11.9,8.2,10.2,28.0,240.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,E,12.4,9.1,10.9,26.0,182.0
KIA,SORENTO AWD,SUV - SMALL,2.4,4.0,AS6,X,11.2,9.0,10.2,28.0,242.0
AUDI,Q7,SUV - STANDARD,3.0,6.0,AS8,Z,15.2,11.0,13.3,21.0,306.0
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,AS8,Z,20.6,12.8,17.1,17.0,401.0
CADILLAC,CT6 AWD,FULL-SIZE,3.6,6.0,AS10,X,13.0,8.8,11.1,25.0,261.0
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.1,12.0,14.8,19.0,348.0
TOYOTA,4RUNNER 4WD (PART-TIME 4WD),SUV - STANDARD,4.0,6.0,AS5,X,14.2,11.1,12.8,22.0,298.0
FORD,FIESTA,SUBCOMPACT,1.6,4.0,AS6,X,8.7,6.4,7.6,37.0,180.0
HYUNDAI,SONATA,FULL-SIZE,2.4,4.0,A6,X,9.8,7.0,8.5,33.0,196.0
AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,Z,15.1,9.1,12.4,23.0,290.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,257.0
TOYOTA,RAV4 LE/XLE,SUV - SMALL,2.5,4.0,AS6,X,10.0,7.6,8.9,32.0,205.0
CHEVROLET,SONIC,COMPACT,1.8,4.0,AS6,X,9.6,6.7,8.3,34.0,191.0
ALFA ROMEO,STELVIO AWD,SUV - SMALL,2.0,4.0,A8,Z,10.8,8.3,9.6,29.0,226.0
LINCOLN,MKT LIVERY,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS6,X,13.1,9.4,11.4,25.0,268.0
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,E,22.1,15.4,19.1,15.0,306.0
HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,M6,X,9.3,6.4,8.0,35.0,188.0
JAGUAR,XE 20D AWD,COMPACT,2.0,4.0,AS8,D,7.8,5.8,6.9,41.0,186.0
FORD,FUSION HYBRID,MID-SIZE,2.0,4.0,AV,X,5.4,5.8,5.5,51.0,126.0
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,AS8,Z,20.0,999.0,16.3,17.0,382.0
CHEVROLET,CRUZE LIMITED ECO,MID-SIZE,1.4,4.0,M6,X,8.4,5.6,7.1,40.0,167.0
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6.0,M6,Z,13.8,9.4,11.9,24.0,280.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,X,13.5,9.0,11.5,25.0,270.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,19.3,14.3,17.1,17.0,284.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,E,11.9,8.3,10.3,27.0,170.0
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,M6,X,9.9,7.8,9.0,31.0,207.0
AUDI,Q3,COMPACT,2.0,4.0,AS6,Z,12.0,8.2,10.3,27.0,242.0
JAGUAR,XJL AWD PORTFOLIO,FULL-SIZE,3.0,6.0,AS8,Z,14.7,9.6,12.4,23.0,285.0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,362.0
HONDA,ODYSSEY,MINIVAN,3.5,6.0,AS10,X,12.2,8.5,10.6,27.0,248.0
ROLLS-ROYCE,DAWN,COMPACT,6.6,12.0,AS8,Z,20.3,13.0,17.0,17.0,397.0
HYUNDAI,TUCSON,SUV - SMALL,2.0,4.0,M6,X,11.4,8.6,10.1,28.0,232.0
HONDA,ACCORD,MID-SIZE,2.4,4.0,AV7,X,9.1,6.9,8.1,35.0,186.0
PORSCHE,911 TURBO S,MINICOMPACT,3.8,6.0,AM7,Z,13.7,9.6,11.9,24.0,278.0
HONDA,FIT,STATION WAGON - SMALL,1.5,4.0,AV,X,7.0,5.9,6.5,43.0,154.0
FORD,EDGE (START/STOP),SUV - SMALL,2.0,4.0,AS6,X,11.3,7.9,9.8,29.0,228.0
GMC,ACADIA AWD,SUV - STANDARD,2.5,4.0,A6,X,11.2,9.4,10.4,27.0,243.0
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6.0,AS6,X,13.2,10.7,12.1,23.0,283.0
BUICK,ENVISION AWD,SUV - SMALL,2.0,4.0,A9,Z,11.7,9.4,10.7,26.0,249.0
GMC,ACADIA AWD,SUV - STANDARD,3.6,6.0,A9,X,13.1,9.4,11.4,25.0,269.0
VOLKSWAGEN,BEETLE,COMPACT,1.8,4.0,AS6,X,9.6,7.2,8.5,33.0,196.0
MITSUBISHI,MIRAGE,COMPACT,1.2,3.0,M5,X,7.1,5.8,6.5,43.0,151.0
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.3,8.9,32.0,210.0
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3.0,AS6,Z,8.7,6.8,7.9,36.0,184.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,A9,D,7.7,5.0,6.5,43.0,175.0
BUICK,ENVISION AWD,SUV - SMALL,2.0,4.0,A6,Z,11.8,9.1,10.6,27.0,248.0
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,AS6,Z,9.2,7.0,8.2,34.0,193.0
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.3,13.5,15.6,18.0,359.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,E,18.4,12.5,15.7,18.0,251.0
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4.0,M5,X,9.2,6.8,8.1,35.0,190.0
LAND ROVER,RANGE ROVER VELAR D180,SUV - SMALL,2.0,4.0,AS8,D,9.2,7.8,8.5,33.0,229.0
VOLKSWAGEN,JETTA,COMPACT,2.0,4.0,M6,X,10.1,7.2,8.8,32.0,207.0
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3.0,6.0,AS6,Z,11.5,8.5,10.2,28.0,235.0
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,20.9,13.0,17.3,16.0,405.0
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4.0,AS6,X,9.7,7.6,8.7,32.0,205.0
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4.0,A6,X,9.6,7.3,8.6,33.0,198.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,19.9,13.8,17.2,16.0,275.0
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4.0,M6,Z,10.4,7.7,9.2,31.0,212.0
NISSAN,370Z,TWO-SEATER,3.7,6.0,M6,Z,13.3,9.3,11.5,25.0,270.0
HONDA,ACCORD,MID-SIZE,2.4,4.0,M6,X,10.1,6.9,8.7,32.0,200.0
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4.0,AS6,X,9.0,6.7,7.8,36.0,183.0
JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6.0,A8,X,13.9,9.8,12.1,23.0,278.0
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,E,16.9,10.8,14.1,20.0,226.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,AV7,X,9.4,7.3,8.5,33.0,198.0
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8.0,M6,Z,16.7,12.5,14.8,19.0,340.0
NISSAN,VERSA,MID-SIZE,1.6,4.0,M5,X,8.6,6.6,7.7,37.0,180.0
HONDA,CIVIC COUPE,COMPACT,2.0,4.0,AV7,X,8.3,6.6,7.5,38.0,176.0
GMC,YUKON FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22.0,304.0
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4.0,AS10,X,11.8,8.4,10.3,27.0,242.0
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,E,19.4,13.0,16.5,17.0,264.0
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,19.0,13.9,16.7,17.0,384.0
KIA,NIRO TOURING,STATION WAGON - SMALL,1.6,4.0,AM6,X,5.1,5.8,5.4,52.0,129.0
MINI,COOPER S COUNTRYMAN  ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,E,17.4,11.3,14.7,19.0,235.0
BMW,M235I XDRIVE CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,16.0,11.3,13.9,20.0,320.0
BMW,328I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0
BUICK,VERANO,COMPACT,2.0,4.0,AS6,Z,11.5,7.9,9.9,29.0,228.0
BENTLEY,CONTINENTAL GT,COMPACT,4.0,8.0,AM8,Z,15.1,9.1,12.4,23.0,291.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.9,10.7,13.0,22.0,299.0
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4.0,M5,X,9.6,7.1,8.5,33.0,196.0
BMW,M6,COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,324.0
MERCEDES-BENZ,GLC 300 4MATIC COUPE,SUV - SMALL,2.0,4.0,A9,Z,10.8,9.0,10.0,28.0,234.0
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS8,Z,15.6,10.4,13.3,21.0,311.0
BMW,440I XDRIVE COUPE,COMPACT,3.0,6.0,AS8,Z,11.1,7.5,9.5,30.0,223.0
VOLVO,S60 POLESTAR,COMPACT,2.0,4.0,AS8,Z,11.8,8.5,10.3,27.0,241.0
INFINITI,QX60 AWD,SUV - SMALL,3.5,6.0,AV7,Z,12.5,9.1,10.9,26.0,257.0
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS6,Z,15.7,10.4,13.3,21.0,311.0
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,3.6,6.0,A8,X,12.8,9.5,11.3,25.0,265.0
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4.0,AS6,X,12.0,9.1,10.7,26.0,246.0
BMW,428I CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.8,6.7,8.9,32.0,211.0
FORD,F-150 FFV (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,16.8,11.8,14.5,19.0,340.0
CADILLAC,ATS,COMPACT,2.0,4.0,M6,Z,12.0,8.1,10.3,27.0,240.0
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4.0,A6,X,9.6,7.3,8.6,33.0,200.0
CHEVROLET,SILVERADO WT,PICKUP TRUCK - STANDARD,2.7,4.0,A8,X,12.5,10.8,11.7,24.0,275.0
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4.0,AS10,X,11.9,8.4,10.4,27.0,243.0
CHRYSLER,200 AWD,MID-SIZE,3.6,6.0,A9,X,12.8,8.1,10.7,26.0,246.0
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4.0,AV7,Z,8.5,7.5,8.0,35.0,189.0
LEXUS,LS 500H AWD,MID-SIZE,3.5,6.0,AV10,Z,10.3,7.7,9.1,31.0,214.0
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.5,9.0,10.9,26.0,257.0
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6.0,AS6,X,12.7,8.9,11.0,26.0,253.0
MERCEDES-BENZ,ML 400 4MATIC,SUV - STANDARD,3.0,6.0,AS7,Z,13.3,10.4,12.0,24.0,276.0
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6.0,AS7,Z,13.7,9.7,11.9,24.0,274.0
LAMBORGHINI,HURACAN SPYDER AWD,TWO-SEATER,5.2,10.0,AM7,Z,17.9,13.0,15.7,18.0,370.0
CHEVROLET,IMPALA,FULL-SIZE,3.6,6.0,AS6,E,16.7,11.3,14.3,20.0,229.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,16.7,12.5,14.8,19.0,340.0
BMW,650I XDRIVE GRAN COUPE,COMPACT,4.4,8.0,AS8,Z,14.3,9.3,12.1,23.0,283.0
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,AV,X,8.0,5.9,7.1,40.0,163.0
BMW,X4 XDRIVE28I,SUV - SMALL,2.0,4.0,AS8,Z,11.7,8.4,10.2,28.0,235.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,E,18.9,12.9,16.2,17.0,270.0
CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4.0,AS6,X,7.8,5.9,6.9,41.0,160.0
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4.0,M5,X,9.8,6.7,8.4,34.0,193.0
LEXUS,RC 350,SUBCOMPACT,3.5,6.0,AS8,Z,12.3,8.5,10.6,27.0,244.0
NISSAN,SENTRA (TURBO),MID-SIZE,1.6,4.0,AV7,Z,8.9,7.3,8.2,34.0,193.0
LEXUS,ES 300H,MID-SIZE,2.5,4.0,AV6,X,5.8,6.1,5.9,48.0,136.0
LEXUS,IS 250 C,SUBCOMPACT,2.5,6.0,AS6,Z,11.2,7.8,9.6,29.0,221.0
BMW,330I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0
AUDI,R8,TWO-SEATER,5.2,10.0,AM7,Z,18.2,10.6,14.8,19.0,347.0
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10.0,AM7,Z,16.8,11.4,14.4,20.0,336.0
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6.0,M7,Z,12.4,8.7,10.7,26.0,252.0
MASERATI,GHIBLI SQ4,MID-SIZE,3.0,6.0,AS8,Z,14.7,9.9,12.6,22.0,295.0
BMW,430I XDRIVE COUPE,COMPACT,2.0,4.0,AS8,Z,10.2,7.2,8.8,32.0,207.0
KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4.0,AS6,X,6.7,6.1,6.4,44.0,147.0
LINCOLN,MKX AWD,SUV - SMALL,3.7,6.0,AS6,X,13.7,10.3,12.1,23.0,278.0
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,2.0,4.0,A8,X,11.5,10.9,11.2,25.0,263.0
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4.0,AM7,Z,9.2,6.9,8.1,35.0,191.0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,AM7,Z,17.3,11.5,14.7,19.0,344.0
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,20.4,13.1,17.1,17.0,400.0
MINI,COOPER PACEMAN,COMPACT,1.6,4.0,M6,Z,8.4,6.4,7.5,38.0,172.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,15.3,10.6,13.2,21.0,309.0
MERCEDES-BENZ,CLA 250 4MATIC,SUBCOMPACT,2.0,4.0,AS7,Z,9.9,7.4,8.8,32.0,202.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,Z,10.8,7.5,9.3,30.0,214.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,E,18.9,12.9,16.2,17.0,259.0
GMC,ACADIA AWD,SUV - STANDARD,2.5,4.0,A6,X,11.3,9.4,10.5,27.0,248.0
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,9.8,9.0,9.4,30.0,220.0
GMC,TERRAIN FFV,SUV - SMALL,2.4,4.0,A6,E,15.6,10.8,13.4,21.0,214.0
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,19.2,12.4,16.1,18.0,370.0
AUDI,A8L TDI (MODIFIED),FULL-SIZE,3.0,6.0,AS8,D,9.8,6.5,8.4,34.0,224.0
LAND ROVER,RANGE ROVER 5.0 SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,14.4,11.2,12.9,22.0,305.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,8.0,9.6,29.0,257.0
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4.0,M6,X,8.0,5.8,7.0,40.0,161.0
ALFA ROMEO,STELVIO AWD,SUV - SMALL,2.0,4.0,A8,Z,10.8,8.3,9.6,29.0,226.0
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.7,12.7,15.4,18.0,362.0
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8.0,A6,E,21.2,13.9,17.9,16.0,298.0
INFINITI,Q60 AWD RED SPORT,SUBCOMPACT,3.0,6.0,AS7,Z,12.5,9.2,11.0,26.0,259.0
BMW,340I,COMPACT,3.0,6.0,AS8,Z,11.1,7.8,9.6,29.0,224.0
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6.0,AM7,Z,12.1,8.7,10.6,27.0,244.0
BMW,328D XDRIVE,COMPACT,2.0,4.0,AS8,D,7.8,5.9,7.0,40.0,184.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,14.2,10.6,12.6,22.0,290.0
HONDA,CIVIC COUPE SI,COMPACT,1.5,4.0,M6,Z,8.4,6.2,7.4,38.0,173.0
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3.0,AS6,Z,8.7,6.6,7.7,37.0,181.0
BMW,X4 XDRIVE35I,SUV - SMALL,3.0,6.0,AS8,Z,12.7,8.8,10.9,26.0,251.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,E,17.1,10.6,14.2,20.0,234.0
HYUNDAI,SANTA FE SPORT ULTIMATE AWD,SUV - SMALL,2.0,4.0,AS6,X,12.5,9.6,11.2,25.0,264.0
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,X,14.1,9.5,12.0,24.0,282.0
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21.0,312.0
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4.0,M6,Z,9.1,6.8,8.1,35.0,186.0
PORSCHE,MACAN,SUV - SMALL,2.0,4.0,AM7,Z,12.2,10.2,11.3,25.0,264.0
BMW,228I XDRIVE COUPE,SUBCOMPACT,2.0,4.0,AS8,Z,10.3,6.7,8.7,32.0,200.0
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.5,9.1,11.0,26.0,257.0
BMW,440I XDRIVE COUPE,COMPACT,3.0,6.0,AS8,Z,11.4,7.8,9.8,29.0,228.0
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6.0,M6,X,13.8,11.4,12.7,22.0,299.0
BMW,428I XDRIVE COUPE,COMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6.0,A6,X,14.5,10.0,12.4,23.0,292.0
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,X,10.8,7.7,9.4,30.0,216.0
HYUNDAI,TUCSON,SUV - SMALL,2.0,4.0,M6,X,11.4,8.5,10.1,28.0,232.0
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4.0,AS7,Z,9.8,7.4,8.7,32.0,203.0
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,E,25.3,19.3,22.6,12.0,362.0
AUDI,Q3,COMPACT,2.0,4.0,AS6,Z,11.9,8.4,10.3,27.0,243.0
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6.0,AS7,Z,8.7,7.5,8.2,34.0,189.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.4,12.7,22.0,298.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,14.3,10.7,12.7,22.0,298.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,21.0,15.0,18.3,15.0,309.0
GMC,SIERRA EASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,14.4,11.2,13.0,22.0,304.0
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.0,6.0,M7,Z,12.0,8.2,10.3,27.0,241.0
JAGUAR,F-TYPE COUPE,TWO-SEATER,2.0,4.0,AS8,Z,10.2,7.8,9.2,31.0,215.0
NISSAN,TITAN 4WD PRO-4X,PICKUP TRUCK - STANDARD,5.6,8.0,AS7,X,16.0,12.0,14.2,20.0,333.0
JAGUAR,F-TYPE COUPE R-DYNAMIC,TWO-SEATER,3.0,6.0,M6,Z,15.3,10.0,12.9,22.0,302.0
TOYOTA,CAMRY,MID-SIZE,3.5,6.0,AS8,X,10.5,7.1,9.0,31.0,210.0
PORSCHE,CAYENNE DIESEL (MODIFIED),SUV - STANDARD,3.0,6.0,A8,D,11.2,8.4,9.8,29.0,270.0
BUICK,REGAL,MID-SIZE,2.0,4.0,AS6,Z,11.4,7.9,9.8,29.0,225.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4.0,M5,X,12.2,10.2,11.3,25.0,260.0
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,11.8,8.4,10.3,27.0,237.0
FORD,F-150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,15.3,13.1,14.3,20.0,336.0
ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6.0,A8,Z,13.8,9.6,11.9,24.0,280.0
MERCEDES-BENZ,AMG E 53 4MATIC+ CABRIOLET,SUBCOMPACT,3.0,6.0,A9,Z,12.5,9.0,10.9,26.0,245.0
